name	dir	species	assembly
elephant	Elephant	Loxodonta_africana	loxAfr3
guinea_pig	Guinea_pig	Cavia_porcellus	Cavpor3.0
fly	Drosophila	Drosophila_melanogaster	BDGP6.32
human	Human	Homo_sapiens	GRCh38
mouse	Mouse	Mus_musculus	GRCm39
sheep	Sheep	Ovis_aries	Oar_v3.1
pig	Pig	Sus_scrofa	Sscrofa11.1
rabbit	Rabbit	Oryctolagus_cuniculus	OryCun2.0
rat	Rat	Rattus_norvegicus	Rnor_6.0
vervet	Vervet	Chlorocebus_sabaeus	ChlSab1.1
worm	C_elegans	Caenorhabditis_elegans	WBcel235
yeast	S_cerevisiae	Saccharomyces_cerevisiae	R64-1-1
zebrafish	Zebrafish	Danio_rerio	GRCz11
